distance_band,class,total_races,avg_prize,median_prize,races_with_prize,avg_field_size,median_field_size,pct_turf_races,field_size_std,races_aw,races_turf,prize_data_coverage
Mile,Class 5,8957,3813.138012741701,3752.02,8947,9.136317963603885,9.0,49.994417773808195,2.6733043271820343,4479,4478,99.9
Sprint,Class 5,7839,3784.717263789581,3752.02,7832,8.6601607347876,8.0,61.76808266360505,2.6053380193625104,2997,4842,99.9
Mile,Class 6,6587,3116.6919498480247,3105.12,6580,10.214361621375437,10.0,38.682252922422954,2.4450015134229335,4039,2548,99.9
Sprint,Class 6,5670,3113.30307678729,3105.12,5665,9.739506172839507,10.0,45.114638447971785,2.605618670029158,3112,2558,99.9
Mile,Class 4,5581,5907.712478479197,5400.0,5576,8.999462461924386,9.0,65.99175774950726,2.9731473972489244,1898,3683,99.9
Middle,Class 5,5349,3822.302139648072,3752.02,5342,8.383062254627033,8.0,58.57169564404562,2.7364989670944433,2216,3133,99.9
Sprint,Class 4,4650,5831.139662002153,5400.0,4645,8.688172043010752,8.0,72.0,2.928702114774473,1302,3348,99.9
Middle,Class 6,4492,3060.8082247992866,3028.47,4484,9.776714158504006,10.0,46.9946571682992,2.6389273806041627,2381,2111,99.8
Middle,Class 4,3020,6117.048774022531,5530.99,3018,8.10364238410596,8.0,68.24503311258279,2.8351272137086765,959,2061,99.9
Mile,Class 3,1882,9763.840398724082,8715.0,1881,8.522848034006376,8.0,69.44739638682252,3.2748877392512883,575,1307,99.9
Sprint,Class 3,1671,9676.182558418213,8640.0,1669,8.867743865948533,8.0,74.74566128067026,3.424093165877287,422,1249,99.9
Mile,Class 2,1629,25081.150958230955,16172.5,1628,10.631062001227747,10.0,73.60343769183548,4.932671270380033,430,1199,99.9
Sprint,Class 2,1589,26129.65692065491,15702.0,1588,10.964757709251101,10.0,77.5330396475771,5.426055854471328,357,1232,99.9
Middle,Class 3,1414,10533.31398016997,9337.5,1412,7.832390381895332,7.0,73.76237623762376,2.9589401184485276,371,1043,99.9
Long,Class 6,1386,3099.803545126354,3105.12,1385,9.395382395382395,9.0,41.34199134199134,2.5439572980957488,813,573,99.9
Long,Class 5,1164,3870.915507745267,3730.5,1162,7.84020618556701,8.0,54.123711340206185,2.537471261821594,534,630,99.8
Mile,Class 1,1044,74070.21590604026,34026.0,1043,8.661877394636015,8.0,92.24137931034483,3.0131769927999756,81,963,99.9
Middle,Class 2,1032,26626.626213592233,18675.0,1030,9.616279069767442,9.0,75.7751937984496,4.501971387518236,250,782,99.8
Middle,Class 1,969,92970.96867357513,35727.3,965,7.763673890608875,7.0,90.09287925696594,2.7080537445969277,96,873,99.6
Long,Class 4,894,6343.165044742729,5652.72,894,7.5715883668903805,7.0,64.42953020134227,2.532414351220965,318,576,100.0
Sprint,Class 1,847,65460.860768321516,34026.0,846,10.785123966942148,10.0,92.68004722550177,4.015468401056832,62,785,99.9
Long,Class 2,530,39067.31522641509,25770.0,530,10.830188679245284,10.0,70.0,5.313377378878897,159,371,100.0
Long,Class 3,409,11266.55041769042,9703.5,407,7.882640586797066,7.0,76.77261613691931,2.7805199242996097,95,314,99.5
Long,Class 1,275,92554.79708029196,51039.0,274,7.88,7.0,95.27272727272728,2.901698470654479,13,262,99.6
Mile,Class 7,96,2384.4015789473683,2264.15,95,12.135416666666666,12.0,1.0416666666666665,1.8672794263688417,95,1,99.0
Sprint,Class 7,70,2404.1367142857143,2555.255,70,10.985714285714286,11.0,0.0,1.619562090955338,70,0,100.0
Middle,Class 7,41,2408.7962500000003,2555.255,40,12.146341463414634,12.0,0.0,2.151290027050701,41,0,97.6
Long,Class 7,4,2830.1875,2911.05,4,12.25,13.5,0.0,2.8722813232690143,4,0,100.0
