date,course,class,dist_f,prize,going,ran,surface,pattern_pct,weekday,time,course_group,region,code,type,is_weekend,course_tier,race_score,class_score,prize_score,tier_score,field_score,pattern_score,score_percentile,race_tier,tier1_focus,tier1_pattern_bonus,tier2_value,tier3_avoid,betting_tier,priority
2026-01-17,Ascot,Class 2,8.0,16776.0,Soft,18,Turf,34.25102826058114,Saturday,Afternoon,Independent,South,Jump,Racecourse/Normal,True,Premium,85.42510282605811,22,25.0,20,15.0,3.425102826058114,99.55902306648576,Tier 1: Focus,True,False,False,False,Tier 1: Focus,1
2026-02-14,Ascot,Class 2,8.0,16776.0,Soft,18,Turf,34.25102826058114,Saturday,Afternoon,Independent,South,Jump,Racecourse/Normal,True,Premium,85.42510282605811,22,25.0,20,15.0,3.425102826058114,99.55902306648576,Tier 1: Focus,True,False,False,False,Tier 1: Focus,1
2026-03-29,Ascot,Class 2,8.0,16776.0,Good,18,Turf,34.25102826058114,Sunday,Afternoon,Independent,South,Jump,Racecourse/Normal,True,Premium,85.42510282605811,22,25.0,20,15.0,3.425102826058114,99.55902306648576,Tier 1: Focus,True,False,False,False,Tier 1: Focus,1
2026-05-09,Ascot,Class 2,8.0,16776.0,Good,18,Turf,34.25102826058114,Saturday,Afternoon,Independent,South,Flat,Racecourse/Normal,True,Premium,85.42510282605811,22,25.0,20,15.0,3.425102826058114,99.55902306648576,Tier 1: Focus,True,False,False,False,Tier 1: Focus,1
2026-05-23,York,Class 2,7.0,10750.0,Good,18,Turf,17.93322734499205,Saturday,Afternoon,Independent,North,Flat,Racecourse/Normal,True,Premium,80.2933227344992,22,21.5,20,15.0,1.793322734499205,98.81275440976933,Tier 1: Focus,True,False,False,False,Tier 1: Focus,1
2026-06-13,York,Class 2,7.0,10750.0,Good to Firm,18,Turf,17.93322734499205,Saturday,Afternoon,Independent,North,Flat,Racecourse/Normal,True,Premium,80.2933227344992,22,21.5,20,15.0,1.793322734499205,98.81275440976933,Tier 1: Focus,True,False,False,False,Tier 1: Focus,1
2026-06-20,Ascot,Class 2,8.0,16776.0,Good to Firm,18,Turf,34.25102826058114,Saturday,Afternoon,Independent,South,Flat,Racecourse/Normal,True,Premium,85.42510282605811,22,25.0,20,15.0,3.425102826058114,99.55902306648576,Tier 1: Focus,True,False,False,False,Tier 1: Focus,1
2026-06-27,York,Class 2,7.0,10750.0,Good to Firm,18,Turf,17.93322734499205,Saturday,Afternoon,Independent,North,Flat,Racecourse/Normal,True,Premium,80.2933227344992,22,21.5,20,15.0,1.793322734499205,98.81275440976933,Tier 1: Focus,True,False,False,False,Tier 1: Focus,1
2026-07-11,Ascot,Class 2,8.0,16776.0,Good to Firm,18,Turf,34.25102826058114,Saturday,Afternoon,Independent,South,Flat,Racecourse/Normal,True,Premium,85.42510282605811,22,25.0,20,15.0,3.425102826058114,99.55902306648576,Tier 1: Focus,True,False,False,False,Tier 1: Focus,1
2026-07-11,York,Class 2,7.0,10750.0,Good to Firm,18,Turf,17.93322734499205,Saturday,Afternoon,Independent,North,Flat,Racecourse/Normal,True,Premium,80.2933227344992,22,21.5,20,15.0,1.793322734499205,98.81275440976933,Tier 1: Focus,True,False,False,False,Tier 1: Focus,1
2026-07-25,Ascot,Class 2,8.0,16776.0,Good to Firm,18,Turf,34.25102826058114,Saturday,Afternoon,Independent,South,Flat,Racecourse/Normal,True,Premium,85.42510282605811,22,25.0,20,15.0,3.425102826058114,99.55902306648576,Tier 1: Focus,True,False,False,False,Tier 1: Focus,1
2026-07-25,York,Class 2,7.0,10750.0,Good to Firm,18,Turf,17.93322734499205,Saturday,Afternoon,Independent,North,Flat,Racecourse/Normal,True,Premium,80.2933227344992,22,21.5,20,15.0,1.793322734499205,98.81275440976933,Tier 1: Focus,True,False,False,False,Tier 1: Focus,1
2026-08-08,Ascot,Class 2,8.0,16776.0,Good to Firm,18,Turf,34.25102826058114,Saturday,Afternoon,Independent,South,Flat,Racecourse/Normal,True,Premium,85.42510282605811,22,25.0,20,15.0,3.425102826058114,99.55902306648576,Tier 1: Focus,True,False,False,False,Tier 1: Focus,1
2026-08-22,York,Class 2,7.0,10750.0,Good to Firm,18,Turf,17.93322734499205,Saturday,Afternoon,Independent,North,Flat,Racecourse/Normal,True,Premium,80.2933227344992,22,21.5,20,15.0,1.793322734499205,98.81275440976933,Tier 1: Focus,True,False,False,False,Tier 1: Focus,1
2026-09-05,Ascot,Class 2,8.0,16776.0,Good,18,Turf,34.25102826058114,Saturday,Afternoon,Independent,South,Flat,Racecourse/Normal,True,Premium,85.42510282605811,22,25.0,20,15.0,3.425102826058114,99.55902306648576,Tier 1: Focus,True,False,False,False,Tier 1: Focus,1
2026-09-06,York,Class 2,7.0,10750.0,Good,18,Turf,17.93322734499205,Sunday,Afternoon,Independent,North,Flat,Racecourse/Normal,True,Premium,80.2933227344992,22,21.5,20,15.0,1.793322734499205,98.81275440976933,Tier 1: Focus,True,False,False,False,Tier 1: Focus,1
2026-10-03,Ascot,Class 2,8.0,16776.0,Good,18,Turf,34.25102826058114,Saturday,Afternoon,Independent,South,Flat,Racecourse/Normal,True,Premium,85.42510282605811,22,25.0,20,15.0,3.425102826058114,99.55902306648576,Tier 1: Focus,True,False,False,False,Tier 1: Focus,1
2026-10-10,York,Class 2,7.0,10750.0,Good,18,Turf,17.93322734499205,Saturday,Afternoon,Independent,North,Flat,Racecourse/Normal,True,Premium,80.2933227344992,22,21.5,20,15.0,1.793322734499205,98.81275440976933,Tier 1: Focus,True,False,False,False,Tier 1: Focus,1
