Date,Weekday,Course,Time,CourseGroup,Region,Code,Surface,Type
2026-01-17,Saturday,Ascot,Afternoon,Independent,South,Jump,Turf,Racecourse/Normal
2026-01-23,Friday,Doncaster,Afternoon,Arena Racing Corporation Limited,North,Jump,Turf,Racecourse/Normal
2026-01-24,Saturday,Doncaster,Afternoon,Arena Racing Corporation Limited,North,Jump,Turf,Racecourse/Normal
2026-02-05,Thursday,Doncaster,Afternoon,Arena Racing Corporation Limited,North,Jump,Turf,Racecourse/Normal
2026-02-14,Saturday,Ascot,Afternoon,Independent,South,Jump,Turf,Racecourse/Normal
2026-02-27,Friday,Doncaster,Afternoon,Arena Racing Corporation Limited,North,Jump,Turf,Racecourse/Normal
2026-02-28,Saturday,Doncaster,Afternoon,Arena Racing Corporation Limited,North,Jump,Turf,Racecourse/Normal
2026-03-13,Friday,Doncaster,Afternoon,Arena Racing Corporation Limited,North,Jump,Turf,Racecourse/Normal
2026-03-28,Saturday,Doncaster,Afternoon,Arena Racing Corporation Limited,North,Flat,Turf,Racecourse/Normal
2026-03-29,Sunday,Ascot,Afternoon,Independent,South,Jump,Turf,Racecourse/Normal
2026-03-29,Sunday,Doncaster,Afternoon,Arena Racing Corporation Limited,North,Flat,Turf,Racecourse/Normal
2026-04-14,Tuesday,Newmarket,Afternoon,Jockey Club Racecourses Limited,Midlands,Flat,Turf,Racecourse/Normal
2026-04-15,Wednesday,Newmarket,Afternoon,Jockey Club Racecourses Limited,Midlands,Flat,Turf,Racecourse/Normal
2026-04-16,Thursday,Newmarket,Afternoon,Jockey Club Racecourses Limited,Midlands,Flat,Turf,Racecourse/Normal
2026-04-24,Friday,Doncaster,Afternoon,Arena Racing Corporation Limited,North,Flat,Turf,Racecourse/Normal
2026-04-25,Saturday,Doncaster,Evening,Arena Racing Corporation Limited,North,Flat,Turf,Racecourse/Normal
2026-05-01,Friday,Ascot,Afternoon,Independent,South,Flat,Turf,Racecourse/Normal
2026-05-01,Friday,Newmarket,Afternoon,Jockey Club Racecourses Limited,Midlands,Flat,Turf,Racecourse/Normal
2026-05-02,Saturday,Newmarket,Afternoon,Jockey Club Racecourses Limited,Midlands,Flat,Turf,Racecourse/Normal
2026-05-02,Saturday,Doncaster,Evening,Arena Racing Corporation Limited,North,Flat,Turf,Racecourse/Normal
2026-05-03,Sunday,Newmarket,Afternoon,Jockey Club Racecourses Limited,Midlands,Flat,Turf,Racecourse/Normal
2026-05-08,Friday,Ascot,Afternoon,Independent,South,Flat,Turf,Racecourse/Normal
2026-05-09,Saturday,Ascot,Afternoon,Independent,South,Flat,Turf,Racecourse/Normal
2026-05-13,Wednesday,York,Afternoon,Independent,North,Flat,Turf,Racecourse/Normal
2026-05-14,Thursday,York,Afternoon,Independent,North,Flat,Turf,Racecourse/Normal
2026-05-15,Friday,Newmarket,Afternoon,Jockey Club Racecourses Limited,Midlands,Flat,Turf,Racecourse/Normal
2026-05-15,Friday,York,Afternoon,Independent,North,Flat,Turf,Racecourse/Normal
2026-05-16,Saturday,Newmarket,Afternoon,Jockey Club Racecourses Limited,Midlands,Flat,Turf,Racecourse/Normal
2026-05-16,Saturday,Doncaster,Evening,Arena Racing Corporation Limited,North,Flat,Turf,Racecourse/Normal
2026-05-23,Saturday,York,Afternoon,Independent,North,Flat,Turf,Racecourse/Normal
2026-06-05,Friday,Doncaster,Evening,Arena Racing Corporation Limited,North,Flat,Turf,Racecourse/Normal
2026-06-06,Saturday,Doncaster,Afternoon,Arena Racing Corporation Limited,North,Flat,Turf,Racecourse/Normal
2026-06-12,Friday,York,Afternoon,Independent,North,Flat,Turf,Racecourse/Normal
2026-06-13,Saturday,York,Afternoon,Independent,North,Flat,Turf,Racecourse/Normal
2026-06-14,Sunday,Doncaster,Afternoon,Arena Racing Corporation Limited,North,Flat,Turf,Racecourse/Normal
2026-06-16,Tuesday,Ascot,Afternoon,Independent,South,Flat,Turf,Racecourse/Normal
2026-06-17,Wednesday,Ascot,Afternoon,Independent,South,Flat,Turf,Racecourse/Normal
2026-06-18,Thursday,Ascot,Afternoon,Independent,South,Flat,Turf,Racecourse/Normal
2026-06-19,Friday,Ascot,Afternoon,Independent,South,Flat,Turf,Racecourse/Normal
2026-06-19,Friday,Newmarket,Evening,Jockey Club Racecourses Limited,Midlands,Flat,Turf,Racecourse/Normal
2026-06-20,Saturday,Ascot,Afternoon,Independent,South,Flat,Turf,Racecourse/Normal
2026-06-20,Saturday,Newmarket,Afternoon,Jockey Club Racecourses Limited,Midlands,Flat,Turf,Racecourse/Normal
