Date,Weekday,Course,Time,CourseGroup,Region,Code,Surface,Type
2025-12-17,Wednesday,Kempton Park,Evening,,,Flat,AWT,Racecourse/Normal
2025-12-17,Wednesday,Lingfield Park,Afternoon,,,Flat,AWT,Racecourse/Normal
2025-12-17,Wednesday,Ludlow,Afternoon,,,Jump,Turf,Racecourse/Normal
2025-12-17,Wednesday,Newbury,Afternoon,,,Jump,Turf,Racecourse/Normal
2025-12-18,Thursday,Chelmsford City,Evening,,,Flat,AWT,Racecourse/Normal
2025-12-18,Thursday,Exeter,Afternoon,,,Jump,Turf,Racecourse/Normal
2025-12-18,Thursday,Ffos Las,Afternoon,,,Jump,Turf,Racecourse/Normal
2025-12-18,Thursday,Southwell,Afternoon,,,Flat,AWT,Racecourse/Normal
2025-12-19,Friday,Ascot,Afternoon,,,Jump,Turf,Racecourse/Normal
2025-12-19,Friday,Newcastle,Evening,,,Flat,AWT,Racecourse/Normal
2025-12-19,Friday,Southwell,Afternoon,,,Flat,AWT,Racecourse/Normal
2025-12-19,Friday,Uttoxeter,Afternoon,,,Jump,Turf,Racecourse/Normal
2025-12-20,Saturday,Wolverhampton,Morning,,,Flat,AWT,Racecourse/Normal
2025-12-20,Saturday,Newcastle,Evening,,,Flat,AWT,Racecourse/Normal
2025-12-20,Saturday,Haydock Park,Afternoon,,,Jump,Turf,Racecourse/Normal
2025-12-20,Saturday,Ascot,Afternoon,,,Jump,Turf,Racecourse/Normal
2025-12-20,Saturday,Hereford,Afternoon,,,Jump,Turf,Racecourse/Normal
2025-12-21,Sunday,Fakenham,Afternoon,,,Jump,Turf,Racecourse/Normal
2025-12-21,Sunday,Lingfield Park,Afternoon,,,Jump,AWT,Racecourse/Normal
2025-12-22,Monday,Huntingdon,Afternoon,,,Jump,Turf,Racecourse/Normal
2025-12-22,Monday,Lingfield Park,Afternoon,,,Flat,AWT,Racecourse/Normal
2025-12-22,Monday,Musselburgh,Afternoon,,,Jump,Turf,Racecourse/Normal
2025-12-22,Monday,Wolverhampton,Evening,,,Flat,AWT,Racecourse/Normal
2025-12-26,Friday,Wetherby,Afternoon,,,Jump,Turf,Racecourse/Normal
2025-12-26,Friday,Wolverhampton,Afternoon,,,Flat,AWT,Racecourse/Normal
2025-12-26,Friday,Wincanton,Afternoon,,,Jump,Turf,Racecourse/Normal
2025-12-26,Friday,Sedgefield,Afternoon,,,Jump,Turf,Racecourse/Normal
2025-12-26,Friday,Aintree,Afternoon,,,Jump,Turf,Racecourse/Normal
2025-12-26,Friday,Kempton Park,Afternoon,,,Jump,AWT,Racecourse/Normal
2025-12-26,Friday,Fontwell Park,Afternoon,,,Jump,Turf,Racecourse/Normal
2025-12-26,Friday,Market Rasen,Afternoon,,,Jump,Turf,Racecourse/Normal
2025-12-27,Saturday,Chepstow,Afternoon,,,Jump,Turf,Racecourse/Normal
2025-12-27,Saturday,Kempton Park,Afternoon,,,Jump,AWT,Racecourse/Normal
2025-12-27,Saturday,Wetherby,Afternoon,,,Jump,Turf,Racecourse/Normal
2025-12-27,Saturday,Wolverhampton,Evening,,,Flat,AWT,Racecourse/Normal
2025-12-28,Sunday,Leicester,Afternoon,,,Jump,Turf,Racecourse/Normal
2025-12-28,Sunday,Southwell,Afternoon,,,Flat,AWT,Racecourse/Normal
2025-12-28,Sunday,Catterick Bridge,Afternoon,,,Jump,Turf,Racecourse/Normal
2025-12-29,Monday,Doncaster,Afternoon,,,Jump,Turf,Racecourse/Normal
2025-12-29,Monday,Kelso,Afternoon,,,Jump,Turf,Racecourse/Normal
2025-12-29,Monday,Newbury,Afternoon,,,Jump,Turf,Racecourse/Normal
2025-12-29,Monday,Newcastle,Evening,,,Flat,AWT,Racecourse/Normal
2025-12-30,Tuesday,Haydock Park,Afternoon,,,Jump,Turf,Racecourse/Normal
2025-12-30,Tuesday,Taunton,Afternoon,,,Jump,Turf,Racecourse/Normal
2025-12-30,Tuesday,Wolverhampton,Evening,,,Flat,AWT,Racecourse/Normal
2025-12-31,Wednesday,Uttoxeter,Afternoon,,,Jump,Turf,Racecourse/Normal
2025-12-31,Wednesday,Lingfield Park,Afternoon,,,Flat,AWT,Racecourse/Normal
2025-12-31,Wednesday,Warwick,Afternoon,,,Jump,Turf,Racecourse/Normal
