horse,num_top10_courses,course
A Bit Iffy (IRE),1,Newmarket
A Boy Named Ivy (IRE),1,Doncaster
A Dublin Lad (GB),1,Newmarket
A Gift Of Love (GB),1,Doncaster
A Major Payne (GB),1,Newmarket
A Momentofmadness (GB),1,Doncaster
A Pint Of Bear (IRE),1,Doncaster
A Poets Secret (GB),1,Doncaster
A Star Above (GB),2,"Doncaster, Newmarket"
A Taste Of Honey (GB),1,Doncaster
AAli (IRE),1,Doncaster
AShaari (GB),1,Newmarket
AShamardi (IRE),2,"Doncaster, Newmarket"
Aabir (IRE),1,Doncaster
Aablan (IRE),1,Newmarket
Aaddeey (IRE),2,"Doncaster, Newmarket"
Aalto (FR),1,Newmarket
Aardwolf (USA),1,Doncaster
Aasheq (IRE),1,Doncaster
Abaco Ridge (GB),1,Doncaster
Abacus (GB),1,Newmarket
Abalone Pearl (IRE),1,Newmarket
Abamanova (IRE),2,"Doncaster, Newmarket"
Abareeq (GB),2,"Doncaster, Newmarket"
Abate (GB),2,"Doncaster, Newmarket"
Abbadia (IRE),1,Newmarket
Abbey Angel (IRE),1,Doncaster
Abbey Wharf (IRE),1,Doncaster
Abdon (GB),1,Newmarket
Abduction (FR),1,Doncaster
Abe Lincoln (USA),1,Newmarket
Abel Handy (IRE),2,"Doncaster, Newmarket"
Abel Tasman (GB),1,Doncaster
Aberama Gold (GB),2,"Doncaster, Newmarket"
Aberlady (USA),2,"Doncaster, Newmarket"
Abertillery (GB),1,Doncaster
Abingdon (USA),1,Doncaster
Able Jack (GB),1,Newmarket
Able Kane (GB),2,"Doncaster, Newmarket"
Abolish (GB),1,Doncaster
About Glory (GB),1,Newmarket
Abouttimeyoutoldme (GB),1,Newmarket
Above (FR),1,Newmarket
Above N Beyond (GB),1,Doncaster
Above The Rest (IRE),2,"Doncaster, Newmarket"
Abraaj (FR),1,Doncaster
Abravaggio (IRE),1,Newmarket
Abruzzo Mia (GB),1,Doncaster
Abseil (USA),1,Newmarket
Absolute Dream (IRE),1,Doncaster
Absolute Queen (IRE),1,Doncaster
Absolute Ruler (USA),2,"Doncaster, Newmarket"
Absolute Star (GB),1,Doncaster
Absolute Zero (IRE),2,"Doncaster, Newmarket"
Absolutely Awesome (GB),1,Doncaster
Absolutely Buzzing (IRE),1,Doncaster
Absolutely So (IRE),2,"Doncaster, Newmarket"
Absolutio (FR),1,Doncaster
Abstemious (GB),1,Doncaster
Abu Khadra (IRE),1,Doncaster
Abu Malek (IRE),1,Doncaster
Abu Royal (IRE),1,Doncaster
Abushamah (IRE),1,Doncaster
Abwaaq (USA),1,Newmarket
Academy House (IRE),1,Newmarket
Acadian Angel (IRE),1,Doncaster
Acaster Malbis (FR),1,Newmarket
Accento (GB),1,Doncaster
Accession (IRE),1,Newmarket
Accidental Agent (GB),2,"Doncaster, Newmarket"
