track_code,track_name,race_date,race_number,race_time,race_name,race_class,surface,distance,purse,program_number,runner_name,jockey,trainer,ml_odds,scratched,breed,source_name,source_url,fetched_at,parser_version,sire,dam,dam_sire,age,sex,owner,weight,current_odds,current_odds_decimal,ml_odds_decimal,race_id,post_time_utc,num_runners
ABQ,Downs at Albuquerque,2026-06-06,1,20:05,Maiden 350y,Maiden,Dirt,350y,"$16,200",1,Hawkslastdance,Zamora Francisco,Giles Wesley T,20/1,False,Quarter Horse,tvg,https://api.tvg.com/cosmo/v1/graphql,2026-06-06T14:07:07.039552,1.0.0,Uncle D,Hawks Dancing Straw,Hawkinson,2,F,Kirk M. Goodfellow,124,20/1,21.0,21.0,ABQ-1,2026-06-07T00:05:00Z,12
ABQ,Downs at Albuquerque,2026-06-06,1,20:05,Maiden 350y,Maiden,Dirt,350y,"$16,200",2,Caliente Cowboy 123,Linares Gilberto,Stinebaugh Zackary,7/2,False,Quarter Horse,tvg,https://api.tvg.com/cosmo/v1/graphql,2026-06-06T14:07:07.039589,1.0.0,Flying Cowboy 123,Srirracha,Walk Thru Fire,2,C,"Schoenhofer, Denis, Schoenhofer, Julie A., Young, Richard, Yates, Joe David and",124,7/2,4.5,4.5,ABQ-1,2026-06-07T00:05:00Z,12
ABQ,Downs at Albuquerque,2026-06-06,1,20:05,Maiden 350y,Maiden,Dirt,350y,"$16,200",3,Kissin Lane Lo,Garcia Ramiro H,Olmstead Jason L,9/2,False,Quarter Horse,tvg,https://api.tvg.com/cosmo/v1/graphql,2026-06-06T14:07:07.039607,1.0.0,Kiss My Hocks,Mandi Lane,Separatist,2,G,Brandon Chavez,124,9/2,5.5,5.5,ABQ-1,2026-06-07T00:05:00Z,12
ABQ,Downs at Albuquerque,2026-06-06,1,20:05,Maiden 350y,Maiden,Dirt,350y,"$16,200",4,Mgd Dyintogetya,Enriquez Jacob,Alvarez Ramon A,20/1,False,Quarter Horse,tvg,https://api.tvg.com/cosmo/v1/graphql,2026-06-06T14:07:07.039620,1.0.0,Freighttrain B,Montage,First Down Dash,2,G,Manny Dutchover,124,20/1,21.0,21.0,ABQ-1,2026-06-07T00:05:00Z,12
ABQ,Downs at Albuquerque,2026-06-06,1,20:05,Maiden 350y,Maiden,Dirt,350y,"$16,200",5,Revenantly,Cardenas Christian,Gonzales Iii James J,3/1,False,Quarter Horse,tvg,https://api.tvg.com/cosmo/v1/graphql,2026-06-06T14:07:07.039785,1.0.0,A Revenant,Fast Prize Janie,Carters Cartel,2,G,"Gibson, Gregg and Wright, Steve M.",124,3/1,4.0,4.0,ABQ-1,2026-06-07T00:05:00Z,12
ABQ,Downs at Albuquerque,2026-06-06,1,20:05,Maiden 350y,Maiden,Dirt,350y,"$16,200",6,Patrick Jane,Medrano Gabriel,Stinebaugh John A,8/1,False,Quarter Horse,tvg,https://api.tvg.com/cosmo/v1/graphql,2026-06-06T14:07:07.039806,1.0.0,Mental Error,Suze Returns,High Rate Of Return,2,G,"Diamond, John and Kiehne, Zane",124,8/1,9.0,9.0,ABQ-1,2026-06-07T00:05:00Z,12
ABQ,Downs at Albuquerque,2026-06-06,1,20:05,Maiden 350y,Maiden,Dirt,350y,"$16,200",7,Hoosier,Ayala Jesus R,O'dell Christopher G,10/1,False,Quarter Horse,tvg,https://api.tvg.com/cosmo/v1/graphql,2026-06-06T14:07:07.039821,1.0.0,Mpshinning,Remember The Rose,Walk Thru Fire,2,G,West Texas Racing Partners LLC  (Norman Allen et al ),124,10/1,11.0,11.0,ABQ-1,2026-06-07T00:05:00Z,12
ABQ,Downs at Albuquerque,2026-06-06,1,20:05,Maiden 350y,Maiden,Dirt,350y,"$16,200",8,Dashin Current 509,Escobedo Edwin G,Jungers Marc E,15/1,False,Quarter Horse,tvg,https://api.tvg.com/cosmo/v1/graphql,2026-06-06T14:07:07.039846,1.0.0,Rip Tide,Lil Dashing Menace,Executive Menace,2,G,"Scarlett Hill Farm, Inc. (Gus Barakes et al)",124,15/1,16.0,16.0,ABQ-1,2026-06-07T00:05:00Z,12
ABQ,Downs at Albuquerque,2026-06-06,1,20:05,Maiden 350y,Maiden,Dirt,350y,"$16,200",9,Flyin Byem Z,Martinez Luis,Sedillo Tony E,6/1,False,Quarter Horse,tvg,https://api.tvg.com/cosmo/v1/graphql,2026-06-06T14:07:07.039858,1.0.0,Flying Cowboy 123,Elysianne,Valiant Hero,2,G,CHR Racing (Juan Ramos et al),124,6/1,7.0,7.0,ABQ-1,2026-06-07T00:05:00Z,12
ABQ,Downs at Albuquerque,2026-06-06,1,20:05,Maiden 350y,Maiden,Dirt,350y,"$16,200",10,Berraca,Muniz Jordy S,Flores Marco A,15/1,False,Quarter Horse,tvg,https://api.tvg.com/cosmo/v1/graphql,2026-06-06T14:07:07.039869,1.0.0,Apollitical Blood,Cassandra Chick,Country Chicks Man,2,F,"Vista Del Sol, Inc. (Javier Alvarez Jr. et al)",124,15/1,16.0,16.0,ABQ-1,2026-06-07T00:05:00Z,12
