date,course,race_name,race_time,horse,horse_norm,market_odds,market_odds_fractional,source_file
2026-05-10,Aqueduct,99MTP,1:10p,Blue Roof Beau,blue roof beau,4.0,3/1,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,1:10p,Rocolino,rocolino,21.0,20/1,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,1:10p,Bye for Now,bye for now,5.5,9/2,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,1:10p,Prospector,prospector,3.5,5/2,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,1:10p,Big Fat Goalie,big fat goalie,4.5,7/2,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,1:10p,Hurricane Kaz,hurricane kaz,5.0,4/1,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,1:10p,Bossofeverything,bossofeverything,11.0,10/1,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,1:38p,Sheriff Bianco,sheriff bianco,5.5,9/2,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,1:38p,Looms Boldly,looms boldly,5.0,4/1,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,1:38p,Shared Success,shared success,4.0,3/1,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,1:38p,Spirit Dragon,spirit dragon,6.0,5/1,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,1:38p,Jackson Heights,jackson heights,7.0,6/1,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,1:38p,Remi's Moon,remi's moon,3.0,2/1,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,2:06p,Anderman,anderman,9.0,8/1,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,2:06p,Liam's Legacy,liam's legacy,6.0,5/1,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,2:06p,King Farro,king farro,4.0,3/1,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,2:06p,Sfumato,sfumato,5.0,4/1,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,2:06p,Mo Curls,mo curls,11.0,10/1,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,2:06p,Judge Boushay,judge boushay,3.5,5/2,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,2:06p,Tricky Business,tricky business,5.5,9/2,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,2:36p,River Ride,river ride,4.0,3/1,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,2:36p,Chartist,chartist,4.5,7/2,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,2:36p,Right Timing,right timing,3.0,2/1,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,2:36p,Jordan's Love,jordan's love,6.0,5/1,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,2:36p,Quadrate,quadrate,9.0,8/1,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,2:36p,Prairie Princess,prairie princess,7.0,6/1,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,2:36p,Truda,truda,21.0,20/1,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,2:36p,Prime Connection,prime connection,13.0,12/1,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,2:36p,Run Wild,run wild,4.0,3/1,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,3:07p,P Mutter Pickle,p mutter pickle,3.5,5/2,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,3:07p,Snide,snide,3.0,2/1,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,3:07p,Lika Rolling Stone,lika rolling stone,7.0,6/1,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,3:07p,Pistol Liz Ablazen,pistol liz ablazen,11.0,10/1,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,3:07p,Point of Reference,point of reference,4.0,3/1,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,3:07p,Brunch With Amy,brunch with amy,5.5,9/2,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,3:38p,Asked and Answered,asked and answered,21.0,20/1,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,3:38p,Coordinator,coordinator,2.6,8/5,us_racecards_2026-05-10.json
2026-05-10,Aqueduct,99MTP,3:38p,Donegal Time,donegal time,4.0,3/1,us_racecards_2026-05-10.json
