date,track_code,track_name,source,source_url,event_type,race_number,race_name,race_time,distance,surface,track_condition,purse,runner_number,runner_name,jockey,win_payoff,place_payoff,show_payoff,notes
2026-05-09,TAM,Tampa Bay Downs,track_sites_playwright,https://www.tampabaydowns.com/racing/horseplayers/results/,results,1.0,Maiden Special Weight,12:18 PM,5 1/2 Furlongs,Dirt,Fast,55000.0,6.0,Maxitas,G A Martinez,4.0,2.6,2.2,Also ran: 1 - The Coromoto 2 - Unstable Mabel 5 - Sally J.
2026-05-09,TAM,Tampa Bay Downs,track_sites_playwright,https://www.tampabaydowns.com/racing/horseplayers/results/,results,1.0,Maiden Special Weight,12:18 PM,5 1/2 Furlongs,Dirt,Fast,55000.0,4.0,Modern Beauty,S Marin,,4.2,3.2,Also ran: 1 - The Coromoto 2 - Unstable Mabel 5 - Sally J.
2026-05-09,TAM,Tampa Bay Downs,track_sites_playwright,https://www.tampabaydowns.com/racing/horseplayers/results/,results,1.0,Maiden Special Weight,12:18 PM,5 1/2 Furlongs,Dirt,Fast,55000.0,3.0,Dancinginmoonlight,J C Ferrer,,,4.8,Also ran: 1 - The Coromoto 2 - Unstable Mabel 5 - Sally J.
2026-05-09,LS,Lone Star Park,track_sites_playwright,https://www.lonestarpark.com/entries/,entries_summary,,,1:35pm,,,,,,,,,,,"next_race_day=Saturday, May 9; race_count_hint=9; mentions_entries=true"
2026-05-09,PRX,Parx,track_sites_playwright,https://www.parxracing.com/racing/entries,entries_summary,,,11:05AM,,,,,,,,,,,"mentions_entries=true; mentions_results=true; pdf_post_times=11:05AM,12:05PM,12:40PM; pdf_title=2026 LIVE RACING SCHEDULE"
2026-05-09,HOU,Sam Houston,track_sites_playwright,https://www.shrp.com/racing,entries_summary,,,,,,,,,,,,,,mentions_entries=true; mentions_results=true; pdf_needs_ocr=true
2026-05-10,TAM,Tampa Bay Downs,track_sites_playwright,https://www.tampabaydowns.com/racing/horseplayers/results/,results,1.0,Claiming,12:39 PM,6 Furlongs,Dirt,Fast,24300.0,6.0,Wicked Legacy,C Gil,16.8,7.4,4.0,Also ran: 2 - Go Go Star 3 - Sound It Out 1 - Bonita Diamond
2026-05-10,TAM,Tampa Bay Downs,track_sites_playwright,https://www.tampabaydowns.com/racing/horseplayers/results/,results,1.0,Claiming,12:39 PM,6 Furlongs,Dirt,Fast,24300.0,4.0,Mama Drama,M Fernandez,,5.6,3.2,Also ran: 2 - Go Go Star 3 - Sound It Out 1 - Bonita Diamond
2026-05-10,TAM,Tampa Bay Downs,track_sites_playwright,https://www.tampabaydowns.com/racing/horseplayers/results/,results,1.0,Claiming,12:39 PM,6 Furlongs,Dirt,Fast,24300.0,5.0,Vesper Chicks,A Quinonez,,,2.8,Also ran: 2 - Go Go Star 3 - Sound It Out 1 - Bonita Diamond
2026-05-10,LS,Lone Star Park,track_sites_playwright,https://www.lonestarpark.com/entries/,entries_summary,,,1:35pm,,,,,,,,,,,"next_race_day=Sunday, May 10; race_count_hint=9; mentions_entries=true"
2026-05-10,PRX,Parx,track_sites_playwright,https://www.parxracing.com/racing/entries,entries_summary,,,11:05AM,,,,,,,,,,,"mentions_entries=true; mentions_results=true; pdf_post_times=11:05AM,12:05PM,12:40PM; pdf_title=2026 LIVE RACING SCHEDULE"
2026-05-10,HOU,Sam Houston,track_sites_playwright,https://www.shrp.com/racing,entries_summary,,,,,,,,,,,,,,mentions_entries=true; mentions_results=true; pdf_needs_ocr=true
2026-05-11,TAM,Tampa Bay Downs,track_sites_playwright,https://www.tampabaydowns.com/racing/horseplayers/results/,results,1.0,Claiming,12:39 PM,6 Furlongs,Dirt,Fast,24300,6,Wicked Legacy,C Gil,16.80,7.40,4.00,Also ran: 2 - Go Go Star 3 - Sound It Out 1 - Bonita Diamond
2026-05-11,TAM,Tampa Bay Downs,track_sites_playwright,https://www.tampabaydowns.com/racing/horseplayers/results/,results,1.0,Claiming,12:39 PM,6 Furlongs,Dirt,Fast,24300,4,Mama Drama,M Fernandez,,5.60,3.20,Also ran: 2 - Go Go Star 3 - Sound It Out 1 - Bonita Diamond
2026-05-11,TAM,Tampa Bay Downs,track_sites_playwright,https://www.tampabaydowns.com/racing/horseplayers/results/,results,1.0,Claiming,12:39 PM,6 Furlongs,Dirt,Fast,24300,5,Vesper Chicks,A Quinonez,,,2.80,Also ran: 2 - Go Go Star 3 - Sound It Out 1 - Bonita Diamond
2026-05-11,LS,Lone Star Park,track_sites_playwright,https://www.lonestarpark.com/entries/,entries_summary,,,1:35pm,,,,,,,,,,,"next_race_day=Sunday, May 10; race_count_hint=9; mentions_entries=true"
2026-05-11,PRX,Parx,track_sites_playwright,https://www.parxracing.com/racing/entries,entries_summary,,,11:05AM,,,,,,,,,,,"mentions_entries=true; mentions_results=true; pdf_post_times=11:05AM,12:05PM,12:40PM; pdf_title=2026 LIVE RACING SCHEDULE"
2026-05-11,HOU,Sam Houston,track_sites_playwright,https://www.shrp.com/racing,entries_summary,,,,,,,,,,,,,,mentions_entries=true; mentions_results=true; pdf_needs_ocr=true
