feature,importance
field_size,0.08078385
sprint_specialist,0.04445475
pos_pct_last_3,0.033915058
staying_specialist,0.032847643
class_num,0.020156885
draw,0.0164198
age_vs_avg,0.015094138
is_pattern,0.014882888
prize_log,0.014421122
career_place_rate,0.014190129
or_change,0.0136076985
career_earnings,0.013586963
class_step,0.01342169
career_runs,0.013012442
trainer_form_30d_v2,0.01288615
trainer_form_14d_v2,0.012775874
trainer_form_30d,0.012672686
or_numeric,0.012596603
weighted_pos_avg,0.012377516
weight_vs_avg,0.012353781
jockey_runs_30d_v2,0.012321387
or_trend_3,0.011638953
form_trend,0.011549854
is_peak_age,0.011418535
unlucky_last,0.011409769
is_3yo,0.011145157
jockey_course_form_30d,0.011103882
form_at_class,0.0110362135
days_since_last,0.010996425
race_score,0.010823098
jockey_runs_14d_v2,0.010777292
age,0.010725011
jockey_hot_v2,0.010679201
jockey_form_30d_v2,0.010584012
trainer_runs_30d_v2,0.010523171
is_veteran,0.010487047
sire_surface_match,0.010373059
avg_btn_last_3,0.010222789
sire_going_match,0.010164118
jockey_form_30d,0.010078449
trainer_course_form_30d,0.010001367
is_top_weight,0.0099731125
weight_lbs,0.009950115
jockey_form_14d,0.009899576
jockey_trainer_form_30d,0.009894671
weight_change,0.009821376
trainer_form_14d,0.00980338
is_turf,0.009793886
sire_class_match,0.009729154
combo_runs_30d_v2,0.009645479
draw_group_win_rate,0.009630071
sire_win_rate,0.009608346
pace_style_presser,0.009575409
connections_in_form,0.0095635215
form_consistency,0.009519038
runs_at_class,0.009499262
career_win_rate,0.009448276
trainer_in_form,0.009410545
pace_style_leader,0.009408724
trainer_hot_v2,0.009389313
sire_distance_match,0.009311749
jockey_form_14d_v2,0.009304093
avg_last_3_pos,0.009283746
sire_place_rate,0.00927605
pace_style_closer,0.0091775535
jockey_trainer_runs,0.009076431
jockey_career_runs,0.009038893
jockey_course_runs,0.008847569
trainer_runs_14d_v2,0.008828758
cd_win_rate,0.008777424
wins_last_3,0.008771906
race_closer_count,0.008759741
combo_form_30d_v2,0.008736267
going_numeric,0.008624305
race_leader_count,0.008489822
draw_pct,0.0084088165
combo_hot_v2,0.008334362
cd_runs,0.008162065
pace_style_midpack,0.006595655
style_advantage,0.006115113
has_visor,0.0
is_staying,0.0
has_blinkers,0.0
first_time_blinkers,0.0
is_middle,0.0
is_handicap,0.0
gear_changed,0.0
is_maiden,0.0
is_sprint,0.0
is_mile,0.0
jockey_in_form,0.0
