feature,importance
staying_specialist,0.10218403
sprint_specialist,0.099185385
field_size,0.08502254
pos_pct_last_3,0.034968525
class_num,0.026367052
draw,0.023534115
weighted_pos_avg,0.022013808
age,0.02064298
jockey_hot_v2,0.020517731
trainer_form_30d,0.020279348
pace_style_presser,0.017530268
trainer_form_30d_v2,0.016553732
form_at_class,0.016391842
jockey_runs_14d_v2,0.016088018
jockey_runs_30d_v2,0.016027875
trainer_form_14d_v2,0.015890323
avg_last_3_pos,0.015341635
form_trend,0.015338775
form_consistency,0.015094252
race_score,0.015064583
jockey_course_form_30d,0.014677319
runs_at_class,0.014597744
sire_surface_match,0.013971292
trainer_form_14d,0.013859751
jockey_form_30d,0.013856797
jockey_form_14d,0.013838198
combo_form_30d_v2,0.0137570985
jockey_form_30d_v2,0.013682985
trainer_runs_30d_v2,0.0135767525
trainer_runs_14d_v2,0.013570369
trainer_course_form_30d,0.0133245485
connections_in_form,0.013320479
sire_going_match,0.013245917
sire_win_rate,0.01320619
is_turf,0.013137901
jockey_form_14d_v2,0.013082895
sire_place_rate,0.013080003
jockey_trainer_form_30d,0.012781137
combo_runs_30d_v2,0.012634339
sire_class_match,0.012518636
sire_distance_match,0.012512215
race_closer_count,0.012401339
pace_style_closer,0.012303363
trainer_hot_v2,0.01196869
pace_style_leader,0.011782787
jockey_in_form,0.011769058
style_advantage,0.011536276
race_leader_count,0.0112183215
pace_style_midpack,0.011146388
combo_hot_v2,0.00960438
trainer_in_form,0.0
