track_code,track_name,race_date,race_number,race_time,race_name,race_class,surface,distance,purse,program_number,runner_name,jockey,trainer,ml_odds,scratched,breed,source_name,source_url,fetched_at,parser_version
LA,Los Alamitos Quarter Horse,2026-05-10,1,00:49,Claiming 4.5f,Claiming,Dirt,4.5f,"$8,500",1,Grey Power,Ortega Cesar,Raudales Jose,8/5,False,Thoroughbred,tvg,https://api.tvg.com/cosmo/v1/graphql,2026-05-11T02:33:10.085897,1.0.0
LA,Los Alamitos Quarter Horse,2026-05-10,1,00:49,Claiming 4.5f,Claiming,Dirt,4.5f,"$8,500",2,Rachel's Gig,Monroy Francisco,Ruvalcaba Alberto,10/1,False,Thoroughbred,tvg,https://api.tvg.com/cosmo/v1/graphql,2026-05-11T02:33:10.085918,1.0.0
LA,Los Alamitos Quarter Horse,2026-05-10,1,00:49,Claiming 4.5f,Claiming,Dirt,4.5f,"$8,500",3,T One D Flour Free,Flores Pedro,Gonzalez Felix L,7/2,False,Thoroughbred,tvg,https://api.tvg.com/cosmo/v1/graphql,2026-05-11T02:33:10.085931,1.0.0
LA,Los Alamitos Quarter Horse,2026-05-10,1,00:49,Claiming 4.5f,Claiming,Dirt,4.5f,"$8,500",4,Lucky's Loaded,Payeras Edgar,Tamayo Isidro,6/1,False,Thoroughbred,tvg,https://api.tvg.com/cosmo/v1/graphql,2026-05-11T02:33:10.085938,1.0.0
LA,Los Alamitos Quarter Horse,2026-05-10,1,00:49,Claiming 4.5f,Claiming,Dirt,4.5f,"$8,500",5,Twilight Moon,Vargas Salvador R,Berman Eric,15/1,False,Thoroughbred,tvg,https://api.tvg.com/cosmo/v1/graphql,2026-05-11T02:33:10.085945,1.0.0
LA,Los Alamitos Quarter Horse,2026-05-10,1,00:49,Claiming 4.5f,Claiming,Dirt,4.5f,"$8,500",6,The Great G,Herrera Cristobal,Stortz Marcia,5/1,False,Thoroughbred,tvg,https://api.tvg.com/cosmo/v1/graphql,2026-05-11T02:33:10.085951,1.0.0
LA,Los Alamitos Quarter Horse,2026-05-10,1,00:49,Claiming 4.5f,Claiming,Dirt,4.5f,"$8,500",7,Beau's Charm,Ramirez Ricardo S,Morfin Sergio,4/1,False,Thoroughbred,tvg,https://api.tvg.com/cosmo/v1/graphql,2026-05-11T02:33:10.085964,1.0.0
LA,Los Alamitos Quarter Horse,2026-05-10,2,01:13,Claiming 4.5f,Claiming,Dirt,4.5f,"$8,500",1,Fire Ile,Payeras Edgar,Dial Troy,3/1,False,Thoroughbred,tvg,https://api.tvg.com/cosmo/v1/graphql,2026-05-11T02:33:10.085984,1.0.0
LA,Los Alamitos Quarter Horse,2026-05-10,2,01:13,Claiming 4.5f,Claiming,Dirt,4.5f,"$8,500",2,Lady Victoria,Cruz Damian D,Aquino Angela M,10/1,False,Thoroughbred,tvg,https://api.tvg.com/cosmo/v1/graphql,2026-05-11T02:33:10.085990,1.0.0
LA,Los Alamitos Quarter Horse,2026-05-10,2,01:13,Claiming 4.5f,Claiming,Dirt,4.5f,"$8,500",3,Only Reputation,Escobedo Adrian,Hanson Ryan,6/5,False,Thoroughbred,tvg,https://api.tvg.com/cosmo/v1/graphql,2026-05-11T02:33:10.085997,1.0.0
LA,Los Alamitos Quarter Horse,2026-05-10,2,01:13,Claiming 4.5f,Claiming,Dirt,4.5f,"$8,500",4,Jager Angel,Flores Pedro,Lucas Robert J,12/1,False,Thoroughbred,tvg,https://api.tvg.com/cosmo/v1/graphql,2026-05-11T02:33:10.086003,1.0.0
LA,Los Alamitos Quarter Horse,2026-05-10,2,01:13,Claiming 4.5f,Claiming,Dirt,4.5f,"$8,500",5,Lochmara,Herrera Cristobal,Bautista Jorge,6/1,False,Thoroughbred,tvg,https://api.tvg.com/cosmo/v1/graphql,2026-05-11T02:33:10.086009,1.0.0
LA,Los Alamitos Quarter Horse,2026-05-10,2,01:13,Claiming 4.5f,Claiming,Dirt,4.5f,"$8,500",6,Breville,Monroy Francisco,Haley Gloria,8/1,False,Thoroughbred,tvg,https://api.tvg.com/cosmo/v1/graphql,2026-05-11T02:33:10.086017,1.0.0
LA,Los Alamitos Quarter Horse,2026-05-10,2,01:13,Claiming 4.5f,Claiming,Dirt,4.5f,"$8,500",7,Sweet Ella Rae,Vargas Salvador R,Uranga Jesus J,6/1,False,Thoroughbred,tvg,https://api.tvg.com/cosmo/v1/graphql,2026-05-11T02:33:10.086024,1.0.0
LA,Los Alamitos Quarter Horse,2026-05-10,3,01:38,Maiden 1000y,Maiden,Dirt,1000y,"$13,000",1,Cote Blanc,Monroy Francisco,Haley Gloria,8/1,False,Thoroughbred,tvg,https://api.tvg.com/cosmo/v1/graphql,2026-05-11T02:33:10.086038,1.0.0
